priority,family,category,skuKey,pnMtm,productName,spec,currentStock,sellableStock,searchKeyword,searchQueries,jdProductUrl,lenovoProductUrl,jdLenovoSelfUrl,lenovoShopSearchUrl,matchStatus,matchEvidence
P0 高库存优先,电脑,游戏笔记本,20003129,83LY001TCD,联想拯救者 Y7000 i7-14650HX/24G/512GSSD/RTX5060-8G/WIN11/15.3寸/钛晶黑RTX 5060,i7-14650HX/24G/512GSSD/RTX5060-8G/钛晶黑,31,31,拯救者,拯救者 / 拯救者 i7-14650HX 24G 512GSSD RTX5060-8G / 拯救者 i7-14650HX 24G 512GSSD RTX5060-8G 钛晶黑,,https://item.lenovo.com.cn/product/1046065.html,https://lenovo1.jd.com/?keyword=%E6%8B%AF%E6%95%91%E8%80%85,https://s.lenovo.com.cn/search/?key=%E6%8B%AF%E6%95%91%E8%80%85&isProprietary=true&page=,人工复核：官网未确认同配置在售价,撤销已采集价：Y7000 24G/512G/RTX5060 必须同时命中主型号、CPU、内存、硬盘、显卡后才可入库；当前联想官网详情页价格不可直接作为该 SKU 官方价。
P1 国补目录优先,平板,平板电脑,20002916,ZAFT0004CN,TB335FC TAB 8G+256GLG-CN,8G+256G,5,5,TAB,TAB / TAB 8G 256G,,https://item.lenovo.com.cn/product/1045776.html,https://lenovo1.jd.com/?keyword=TAB,https://s.lenovo.com.cn/search/?key=TAB&isProprietary=true&page=,已采集联想官网详情页和动态价,【张凌赫同款】联想小新平板11 11英寸 影音娱乐网课学习 AI平板电脑 深空灰_多少钱_参数_图片_价格_用户评价_联想商城；联想官网会员价 1121
P1 国补目录优先,电脑,轻薄笔记本,20004003,83HR00BKCD,小新 14 IRH10GRXI513420H24G51211C,I513420H24G512,4,4,小新,小新 / 小新 I513420H,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,轻薄笔记本,20003886,870042295,Lecoo N155D2125H32G1TG-11,Lecoo N155D2125H32G1TG-11,4,3,Lecoo,Lecoo,,https://item.lenovo.com.cn/product/1048507.html,https://lenovo1.jd.com/?keyword=Lecoo,https://s.lenovo.com.cn/search/?key=Lecoo&isProprietary=true&page=,已匹配详情页,详情页商品编号 AK-870042295 命中 PN 主体 870042295；详情描述 Ultra 5-125H/14英寸/32GB/1T/锐炫 ARC 核显，与 Lecoo N155D2125H32G1T 关键配置一致。慢慢买关键词作为辅助线索，最终采用联想商城真实详情页。
P1 国补目录优先,平板,平板电脑,20004481,ZAE70012CN,PadPro12.7银色 TB375FC TAB 8G+256GCL-CN,8+256,3,2,Pro12,Pro12 / Pro12 8G / Pro12 8G 银色,,,https://lenovo1.jd.com/?keyword=Pro12,https://s.lenovo.com.cn/search/?key=Pro12&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,平板,平板电脑,20002604,ZAE70000CN,TB375FC TAB 8G+256GLG-CN,8G+256G,3,3,TAB,TAB / TAB 8G 256G,,,https://lenovo1.jd.com/?keyword=TAB,https://s.lenovo.com.cn/search/?key=TAB&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,轻薄笔记本,20005827,83QH0003CD,小新Pro 16c AHP10RGRXR732G1TB11C,R732G1T,3,3,小新,小新,,https://item.lenovo.com.cn/product/1051849.html,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,已匹配详情页,联想商城 PN 搜索 83QH0003CD 返回详情页，商品编号精确命中；搜索页展示价 ￥9199。型号为小新Pro16 2025锐龙版，符合 R7/32G/1TB SKU 方向。
P1 国补目录优先,电脑,轻薄笔记本,20002811,83ND0000CD,小新Pro 16c IAH10GRXU532G1TB11C集成显卡,灰 U5 32G 1T,3,3,小新,小新 / 小新 32G 1T,,https://item.lenovo.com.cn/product/1044693.html,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,已匹配详情页,联想商城 PN 搜索 83ND0000CD 返回详情页，商品编号精确命中；搜索页展示价 ￥7299。页面为小新Pro16 酷睿版 16 英寸，匹配 Ultra 5/32G/1TB/集显方向。
P1 国补目录优先,电脑,轻薄笔记本,20004689,870045087,Lecoo N175L 2Intel125H32G1T-11（来酷Lecoo Air16酷睿版16英寸）,Ultra5 32G 1T,3,3,Lecoo,Lecoo / Lecoo 32G 1T,,https://item.lenovo.com.cn/product/1050551.html,https://lenovo1.jd.com/?keyword=Lecoo,https://s.lenovo.com.cn/search/?key=Lecoo&isProprietary=true&page=,已匹配详情页,详情页商品编号精确命中 870045087；详情描述 16英寸/Ultra5 125H/32G/1TB SSD/2.5K 120Hz，与 Lecoo Air16 酷睿版 32G 1T SKU 一致。
P1 国补目录优先,电脑,商务台式,20006651,90XS007FCD,天逸510S-08IRR I51340016G512W-11Q2,I51340016G512,3,3,天逸510S,天逸510S / 天逸510S I513400,,,https://lenovo1.jd.com/?keyword=%E5%A4%A9%E9%80%B8510S,https://s.lenovo.com.cn/search/?key=%E5%A4%A9%E9%80%B8510S&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,游戏笔记本,20003127,83LY001VCD,联想拯救者 Y7000 i7-13650HX/24G/1TSSD/RTX5060-8G/WIN11/15.3寸/钛晶黑RTX 5060,i7-13650HX/24G/1TSSD/RTX5060-8G/钛晶黑,3,3,拯救者,拯救者 / 拯救者 i7-13650HX 24G 1TSSD RTX5060-8G / 拯救者 i7-13650HX 24G 1TSSD RTX5060-8G 钛晶黑,,,https://lenovo1.jd.com/?keyword=%E6%8B%AF%E6%95%91%E8%80%85,https://s.lenovo.com.cn/search/?key=%E6%8B%AF%E6%95%91%E8%80%85&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,非国补,平板电脑,20006819,QX41V67003,联想平板 小新 Pro 13系列钢化膜,钢化膜,2,2,小新,小新,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,非国补,平板电脑,20006818,ZG38C08216,联想平板 小新 Pro 13 系列保护夹 灰色,灰色,2,2,小新,小新 / 小新 灰色,,,https://lenovo1.jd.com/?keyword=%E5%B0%8F%E6%96%B0,https://s.lenovo.com.cn/search/?key=%E5%B0%8F%E6%96%B0&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
P1 国补目录优先,电脑,游戏笔记本,20004671,83F40006CD,Legion Y9000P IAX10BKEU932G1TB11C 5060,U932G1T5060,2,2,Legion,Legion,,,https://lenovo1.jd.com/?keyword=Legion,https://s.lenovo.com.cn/search/?key=Legion&isProprietary=true&page=,待匹配详情页,搜索序列已重建：先型号，再型号+核心配置，必要时再加颜色；不再使用 PN/MTM/物料号作为采集参数。
